Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Mauritius,MUS,"6,33","84,6274","95,422325","42,66407013","2,891284993",100,"11403,2529","41,8","68,526","0,7686","11,86667",,-1034,"8,22"
Malawi,MWI,"4,932","25,360525",0,,"5,448181336","11,2","584,362867","5,7","75,93659","6,6276","66,8324",,-2228,"5,5"
Malaysia,MYS,"3,26","55,0026","74,7457","43,19771576","4,413187421",100,"11132,1035","14,4","74,04634","6,0978",..,1655,60824,"7,16"
North America,NAC,"3,889895237","92,575175","95,02915","86,38210297","2,261827456",100,"63203,3739","112,5","60,255","0,1291","0,132625",,1550648,
Namibia,NAM,"20,002",0,"48,707575","27,74831009","-0,83915469","53,2785835","5126,17614","2,4","83,59512","7,9184","82,16667",,-8596,"6,43"
New Caledonia,NCL,"10,88",0,0,,"-1,4",100,"34934,5795",..,"75,437",..,..,,-2336,
Niger,NER,"0,552","9,175175","47,580775","4,11977005","5,941396863","18,4574337","550,963543","5,8","77,66585","5,6897","4,433333",,-15787,"3,29"
Nigeria,NGA,"5,206",0,0,,"2,208429277","55,4","2334,02354","2,3","81,52927","6,5433","5,05624",,-103989,"4,12"
Nicaragua,NIC,"5,202",0,0,"17,76761436","-2,89648808","85,6619797","1905,63831",20,"70,382","0,4516",..,,-19733,"3,55"
Netherlands,NLD,"3,38","69,720775","73,099425",,"1,955588416",100,"52476,2733","118,6","57,078","0,0410","54,96667",3078,60266,"9,01"
Norway,NOR,"3,69","71,6923","74,8652","85,76338196","1,123746964",100,"76430,5889","34,3","66,175","7,6889","44,64286",,25564,"9,87"
