Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Lao PDR,LAO,"2,896","58,7334","94,0038","17,11575127","7,022836255","89,0115585","2309,04908","15,5","69,917","2,904909","52,03704",,-11401,"2,37"
Lebanon,LBN,"9,723",,,"42,10900879","1,55454941","99,7965012","8172,29948","3,4",..,..,..,,-228173,"4,86"
Liberia,LBR,"3,08",,,,"-1,554958617","17,7","722,131227","18,5","69,865","5,998505","1,328736",,-26822,"5,31"
Libya,LBY,"19,516",,,,"-1,490941117","72,2062683","7945,00605","3,7","76,44146341","3,456033",..,,-5081,"2,25"
St. Lucia,LCA,"19,659","78,6023","94,8503","19,80537987","3,428673296","99,8480377","10574,3026","22,4","73,284","1,717306","36,45862",,0,
Latin America & Caribbean,LCN,"7,782005303","77,4915","93,5835","50,18819046","-0,159189425","97,4807223","8363,88419","80,8","59,038","0,261542","1,468594",,-139806,
Least developed countries: UN classification,LDC,"4,7947935","37,9934","81,1158","9,702560425","4,010710131","46,3724528","1016,08093","49,9","65,685","0,421272","3,313821",,-476043,
Low income,LIC,"5,004172782","33,3952","80,9007","8,872830391","2,129491902","37,441476","743,603669","45,5","61,682","1,787073","4,576299",,-467727,
Liechtenstein,LIE,,"91,2057","92,1204","34,50735855",,100,"165845,929","32,4","62,702","4,607852",..,,175,
Sri Lanka,LKA,"4,24",,"98,903","17,80683899","5,05362489","97,5","4107,82976","33,7","68,776","0,385328","4,791675","1561,706",-98896,"6,48"
Lower middle income,LMC,"6,421970581","58,2612","86,7338","23,53153038","5,773665962","83,7271661","2035,51134",4,"81,56097561","9,306892","72,94",,-2969756,
Low & middle income,LMY,"5,972898279","62,7863","88,5774","31,57481956","4,557560475","85,8843475","4312,05125",..,"76,93170732",..,..,,-3685591,
Lesotho,LSO,"16,825","41,3521","90,5767",,"3,605400048","35,0725174","986,265257","5,3","81,65853659","6,615409","3,019878",,-3861,"6,59"
Late-demographic dividend,LTE,"5,283188361","82,9282","96,525","49,76768112","4,476986538","99,1246734","8182,50378","17,8","73,256","0,846846","0,868742",,152609,
Lithuania,LTU,"7,86","97,5244","98,2858","71,11852264","2,518828273",100,"15008,3132","119,1","61,629","0,100195","49,92",1911,-17334,"7,47"
Luxembourg,LUX,"6,29","84,6398","95,5354","19,92036057","4,978190437",100,"106899,294","124,7","52,043","0,587371","5,643439",275,12535,"8,81"
Latvia,LVA,"9,64","93,5871","96,0043","80,60481262","2,368614747",100,"14331,7516","10,9","75,4","3,359582","19,33007","1859,6",-10340,"7,31"
"Macao SAR, China",MAC,"1,94","81,7082","96,7317","79,33001709","-0,679060845",100,"71919,0527",..,..,..,..,,6962,
St. Martin (French part),MAF,,,,,,100,,"2,6","82,40731707","7,561039","0,693246",,-734,
Morocco,MAR,"9,3",,"94,6149","32,26958084","0,521185506","97,8","3132,95215","11,1","77,916","16,41575","116,7143",2109,-57256,"4,77"
Monaco,MCO,,,,"49,07902908","3,451551047",100,"174606,494","73,9","65,88","0,848207","363,2182",,416,
Moldova,MDA,"4,02","76,5936","86,8826","52,84357834","4,646014363","99,9373474","2847,63507","19,1",..,"11,66929",..,1151,-51633,"6,01"
